id,name,iata,icao,lat,lon,country,created_at,updated_at
,Aalborg Airport,AAL,EKYT,57.092781,9.849164,Denmark,,
,Aarhus Airport,AAR,EKAH,56.300011,10.619,Denmark,,
,Aberdeen International Airport,ABZ,EGPD,57.201939,-2.19777,United Kingdom,,
,Lanzarote Airport,ACE,GCRR,28.945459,-13.6052,Spain,,
,Agadir Al Massira Airport,AGA,GMAD,30.324989,-9.41306,Morocco,,
,Malaga Costa Del Sol Airport,AGP,LEMG,36.6749,-4.4991,Spain,,
,Alghero Fertilia Airport,AHO,LIEA,40.63213,8.290772,Italy,,
,Alicante Airport,ALC,LEAL,38.282162,-0.55815,Spain,,
,Amman Queen Alia International Airport,AMM,OJAI,31.722549,35.99321,Jordan,,
,Amsterdam Schiphol Airport,AMS,EHAM,52.308609,4.763889,Netherlands,,
,Ancona Airport,AOI,LIPY,43.616341,13.36231,Italy,,
,Aqaba King Hussein International Airport,AQJ,OJAQ,29.61161,35.018059,Jordan,,
,Stockholm Arlanda Airport,ARN,ESSA,59.653545,17.939816,Sweden,,
,Athens Eleftherios Venizelos,ATH,LGAV,37.936352,23.94446,Greece,,
,Barcelona El Prat Airport,BCN,LEBL,41.29707,2.078463,Spain,,
,Brindisi Airport,BDS,LIBR,40.657631,17.947029,Italy,,
,Berlin Brandenburg Airport,BER,EDDB,52.362877,13.503722,Germany,,
,Brest Bretagne Airport,BES,LFRB,48.44722,-4.42166,France,,
,Seattle Boeing Field,BFI,KBFI,47.5341,-122.305901,United States,,
,Milan Bergamo Il Caravaggio International Airport,BGY,LIME,45.673882,9.704166,Italy,,
,Birmingham Airport,BHX,EGBB,52.45385,-1.74802,United Kingdom,,
,Biarritz Pays Basque Airport,BIQ,LFBZ,43.46833,-1.53111,France,,
,Bismarck Municipal Airport,BIS,KBIS,46.774479,-100.758209,United States,,
,Billund Airport,BLL,EKBI,55.740318,9.151778,Denmark,,
,Bologna Guglielmo Marconi Airport,BLQ,LIPE,44.535439,11.28866,Italy,,
,Banja Luka International Airport,BNX,LQBK,44.941441,17.297501,Bosnia And Herzegovina,,
,Bordeaux Merignac Airport,BOD,LFBD,44.828609,-0.71527,France,,
,Bournemouth Airport,BOH,EGHH,50.779999,-1.8425,United Kingdom,,
,Bremen Airport,BRE,EDDW,53.047501,8.786667,Germany,,
,Bari Karol Wojtyla Airport,BRI,LIBD,41.138851,16.76059,Italy,,
,Brno Turany Airport,BRQ,LKTB,49.15126,16.694429,Czechia,,
,Bristol Airport,BRS,EGGD,51.38266,-2.71908,United Kingdom,,
,Brussels Airport,BRU,EBBR,50.901379,4.484444,Belgium,,
,Basel Mulhouse-Freiburg EuroAirport,BSL,LFSB,47.5989,7.5283,France,,
,Bratislava M. R. Stefanik Airport,BTS,LZIB,48.170158,17.21266,Slovakia,,
,Burlington International Airport,BTV,KBTV,44.471859,-73.153198,United States,,
,Budapest Ferenc Liszt International Airport,BUD,LHBP,47.436932,19.25559,Hungary,,
,Paris Beauvais-Tille Airport,BVA,LFOB,49.454441,2.112778,France,,
,Brive Souillac Airport,BVE,LFSL,45.040031,1.487762,France,,
,Bydgoszcz Ignacy Jan Paderewski Airport,BZG,EPBY,53.096802,17.977659,Poland,,
,Beziers Cap d'Agde Airport,BZR,LFMU,43.323421,3.353397,France,,
,Cagliari Elmas Airport,CAG,LIEE,39.251461,9.054283,Italy,,
,Carcassonne Airport,CCF,LFMK,43.215809,2.308544,France,,
,Castellon Costa Azahar Airport,CDT,LECH,40.209721,0.069722,Spain,,
,Clermont-Ferrand Auvergne Airport,CFE,LFLC,45.785831,3.1625,France,,
