Agent,4,26,23,17,28,19,32,34,27,29,15,18,33,12,30,35,2,20,21
2022-10-03,X,X,X,06:00-17:00,06:00-17:00,13:00-24:00,13:00-24:00,13:00-24:00,X,X,06:00-17:00,AL,06:00-17:00,X,13:00-24:00,X,07:00-18:00,13:00-24:00,X
2022-10-04,X,X,X,06:00-17:00,06:00-17:00,13:00-24:00,13:00-24:00,13:00-24:00,X,X,06:00-17:00,AL,06:00-17:00,X,X,X,07:00-18:00,13:00-24:00,X
2022-10-05,X,X,X,06:00-17:00,06:00-17:00,13:00-24:00,13:00-24:00,13:00-24:00,X,X,06:00-17:00,AL,06:00-17:00,X,X,X,X,13:00-24:00,07:00-18:00
2022-10-06,AL,06:00-17:00,AL,X,X,X,X,X,X,X,06:00-17:00,AL,06:00-17:00,X,X,13:00-24:00,X,13:00-24:00,07:00-18:00
2022-10-07,AL,06:00-17:00,AL,X,X,X,X,X,13:00-24:00,06:00-17:00,X,X,X,X,X,13:00-24:00,X,X,07:00-18:00
2022-10-08,13:00-24:00,06:00-17:00,AL,X,X,X,X,X,13:00-24:00,06:00-17:00,X,X,X,13:00-24:00,13:00-24:00,13:00-24:00,X,X,08:00-19:00
2022-10-09,13:00-24:00,06:00-17:00,AL,X,X,X,X,X,13:00-24:00,06:00-17:00,X,X,X,13:00-24:00,13:00-24:00,13:00-24:00,08:00-19:00,X,X
2022-10-10,X,X,X,13:00-24:00,06:00-17:00,13:00-24:00,13:00-24:00,06:00-17:00,13:00-24:00,06:00-17:00,X,X,X,13:00-24:00,13:00-24:00,X,07:00-18:00,X,X
2022-10-11,X,X,X,13:00-24:00,06:00-17:00,13:00-24:00,13:00-24:00,06:00-17:00,X,X,13:00-24:00,AL,06:00-17:00,13:00-24:00,13:00-24:00,X,07:00-18:00,13:00-24:00,X
2022-10-12,X,X,X,13:00-24:00,06:00-17:00,13:00-24:00,13:00-24:00,06:00-17:00,X,X,13:00-24:00,AL,06:00-17:00,X,X,X,07:00-18:00,13:00-24:00,X
2022-10-13,X,X,X,13:00-24:00,06:00-17:00,13:00-24:00,13:00-24:00,06:00-17:00,X,X,13:00-24:00,13:00-24:00,06:00-17:00,X,X,X,X,13:00-24:00,07:00-18:00
2022-10-14,06:00-17:00,06:00-17:00,13:00-24:00,X,X,X,X,X,X,X,13:00-24:00,13:00-24:00,06:00-17:00,X,X,06:00-17:00,X,13:00-24:00,07:00-18:00
2022-10-15,06:00-17:00,06:00-17:00,13:00-24:00,X,X,X,X,X,13:00-24:00,06:00-17:00,X,X,X,X,X,06:00-17:00,X,X,08:00-19:00
2022-10-16,06:00-17:00,06:00-17:00,13:00-24:00,X,X,X,X,X,13:00-24:00,06:00-17:00,X,X,X,AL,06:00-17:00,06:00-17:00,X,X,08:00-19:00
2022-10-17,06:00-17:00,06:00-17:00,13:00-24:00,X,X,X,X,X,13:00-24:00,AL,X,X,X,AL,06:00-17:00,06:00-17:00,13:00-24:00,X,X
2022-10-18,X,X,X,13:00-24:00,13:00-24:00,06:00-17:00,06:00-17:00,06:00-17:00,13:00-24:00,AL,X,X,X,AL,06:00-17:00,X,13:00-24:00,X,X
2022-10-19,X,X,X,13:00-24:00,13:00-24:00,06:00-17:00,06:00-17:00,06:00-17:00,X,X,AL,06:00-17:00,13:00-24:00,AL,06:00-17:00,X,13:00-24:00,07:00-18:00,X
2022-10-20,X,X,X,13:00-24:00,13:00-24:00,06:00-17:00,06:00-17:00,06:00-17:00,X,X,13:00-24:00,06:00-17:00,13:00-24:00,X,X,X,13:00-24:00,07:00-18:00,X
2022-10-21,X,X,X,13:00-24:00,13:00-24:00,06:00-17:00,06:00-17:00,06:00-17:00,X,X,13:00-24:00,06:00-17:00,13:00-24:00,X,X,X,X,07:00-18:00,AL
2022-10-22,06:00-17:00,13:00-24:00,13:00-24:00,X,X,X,X,X,X,X,13:00-24:00,06:00-17:00,13:00-24:00,X,X,13:00-24:00,X,08:00-19:00,AL
2022-10-23,06:00-17:00,13:00-24:00,13:00-24:00,X,X,X,X,X,06:00-17:00,13:00-24:00,X,X,X,X,X,13:00-24:00,X,X,AL
2022-10-24,06:00-17:00,13:00-24:00,13:00-24:00,X,X,X,X,X,06:00-17:00,13:00-24:00,X,X,X,06:00-17:00,06:00-17:00,13:00-24:00,X,X,AL
2022-10-25,06:00-17:00,13:00-24:00,13:00-24:00,X,X,X,X,X,06:00-17:00,13:00-24:00,X,X,X,06:00-17:00,06:00-17:00,13:00-24:00,13:00-24:00,X,X
2022-10-26,X,X,X,06:00-17:00,13:00-24:00,06:00-17:00,06:00-17:00,AL,06:00-17:00,13:00-24:00,X,X,X,06:00-17:00,06:00-17:00,X,13:00-24:00,X,X
2022-10-27,X,X,X,06:00-17:00,13:00-24:00,06:00-17:00,06:00-17:00,AL,X,X,06:00-17:00,06:00-17:00,AL,06:00-17:00,06:00-17:00,X,13:00-24:00,07:00-18:00,X
2022-10-28,X,X,X,06:00-17:00,13:00-24:00,06:00-17:00,06:00-17:00,AL,X,X,06:00-17:00,06:00-17:00,AL,X,X,X,13:00-24:00,07:00-18:00,X
2022-10-29,X,X,X,06:00-17:00,13:00-24:00,06:00-17:00,06:00-17:00,AL,X,X,06:00-17:00,AL,AL,X,X,X,X,07:00-18:00,10:00-21:00
2022-10-30,13:00-24:00,13:00-24:00,06:00-17:00,X,X,X,X,X,X,X,06:00-17:00,AL,AL,X,X,13:00-24:00,X,07:00-18:00,10:00-21:00
